,T-FAP_2_corr,T-FAP_2_qval
Cxcl14,0.5753932957300056,0.0
Hp,0.552593204796158,0.0
Gas6,0.5354490217076894,6.186343722058759e-301
Angptl4,0.5176226007156186,1.331346674257531e-276
Sfrp1,0.5130170123456901,1.2053418226746217e-270
Igfbp4,0.5020890642628567,8.940277213641003e-257
Cxcl5,0.47921567128356907,1.9659547946641767e-229
Chl1,0.47522811631292033,6.008520088175655e-225
Tmem176b,0.4655247896563249,3.2023476088248037e-214
Cxcl12,0.4629940972084152,1.611848973031491e-211
Tmem176a,0.4538138604054024,8.301587144130693e-202
Slc39a14,0.42292282746850596,2.311402384767378e-171
Cdh11,0.421069053440055,1.1206421703832904e-169
Gfra1,0.42087080089107815,1.586953610618669e-169
Emb,0.4186898985414339,1.5062904811079125e-167
Ccn5,0.4117472977137838,2.705585574313178e-161
Il1r1,0.40555205923276166,7.100597104653015e-156
Dram1,0.3948631644221843,9.380983562819972e-147
Ptx3,0.3917524449559043,3.490683520611707e-144
Serpina3n,0.39127801374577315,8.213301115578625e-144
Tnfsf11,0.39094282810417896,1.4193728828848131e-143
C3,0.38888514308046807,6.713911921408273e-142
Slc1a3,0.3866388076364024,4.394306309304443e-140
Sfrp2,0.3847682018986676,1.383417606029863e-138
Megf6,0.3835437017739774,1.2898792531432973e-137
Kcnj15,0.381370011099786,6.820349596385188e-136
Sgk1,0.3778315942322673,4.019852370532343e-133
Saa3,0.3749783703709651,6.618471043956053e-131
Hif1a,0.3664628122270413,2.0992449003182846e-124
Ugcg,0.3663797027594679,2.3509463154839215e-124
Pcsk5,0.35960052267041187,2.4723442234965027e-119
Cfb,0.3593377237264416,3.741614235908814e-119
Rnf150,0.35377190505709094,3.810773102995702e-115
Slc16a1,0.34983112760691853,2.3550167027337043e-112
Slc16a2,0.34854969538300334,1.8314080500080733e-111
Gfra2,0.3461314941328083,8.746362976547419e-110
Sod2,0.34472026137281025,8.128539352166996e-109
Brinp1,0.34453888615656747,1.0591710937032428e-108
Ecrg4,0.3427526918854546,1.7583975420618283e-107
Slpi,0.3358878890226944,7.484166692941783e-103
Igf1,0.32564021967910683,3.6564076055936823e-96
Csgalnact1,0.3255264584728302,4.234881893111251e-96
Hsd11b1,0.32287786948909114,2.0250213915287703e-94
Brinp3,0.3213486425705741,1.8381705685061486e-93
Svep1,0.31622822148994945,2.760699581949675e-90
Gm26771,0.3160134911371434,3.674751130033006e-90
Arl4c,0.3156749800551615,5.8307468588625904e-90
Mmp3,0.3126854513880638,3.869274424454591e-88
Ctsb,0.31010001616306837,1.394254469780282e-86
Nudt4,0.30389497781048386,6.669857770952349e-83
Gpm6b,0.3030850206043337,1.954013892876308e-82
Ereg,0.3020059100464935,8.184991554641767e-82
Camk4,0.30043448797083716,6.567052262207165e-81
C1s1,0.29958614928573424,1.9946369365695572e-80
Tnc,0.298452908955188,8.794480419533175e-80
Smoc2,0.2978370969719816,1.9495905558157824e-79
