,TSPC_corr,TSPC_qval
Phldb1,0.19190992770261214,2.8926660668233624e-32
Psmc5,0.19156259499408096,3.7843871263677864e-32
Lpar1,0.1912428824376355,4.860958524396506e-32
Atox1,0.19085580634329083,6.580707317213091e-32
Prkca,0.1904351632024164,9.122747494287721e-32
Psmd12,0.19027338406023162,1.033704953444359e-31
Spon2,0.19019922169074552,1.091325730926048e-31
D8Ertd738e,0.1901883394202701,1.0985367824721062e-31
Rab32,0.18953387556848464,1.8224181624448453e-31
Nbl1,0.1895126039163955,1.8493690239102446e-31
Phlda3,0.18939915998786327,2.0128286764459937e-31
Pgm3,0.1890553784935666,2.6213221010109934e-31
Ston2,0.18866116104781427,3.521561980141724e-31
Stmn4,0.18859179714706165,3.7095008805435e-31
