source,target,ligand_complex,receptor_complex,rank_innervated,rank_denervated,delta_rank
Tenogenic-progenitor,Smooth_muscle,Col1a2,Itga1_Itgb1,8.428077101287965e-08,1.9251522565876983e-08,-6.502924844700268e-08
TSPC,Smooth_muscle,Col3a1,Itga1_Itgb1,8.774238979634941e-08,2.623399417486959e-08,-6.150839562147981e-08
TSPC,Macrophage,Col1a2,Cd44,9.030906857052852e-08,4.332971273414185e-07,3.4298805877089e-07
Stromal,Endothelial,Col1a2,Cd93,9.494727386965335e-08,5.459246675503252e-09,-8.94880271941501e-08
T-FAP,Smooth_muscle,Col1a1,Itga1_Itgb1,9.869302484648673e-08,2.053419217177036e-08,-7.815883267471638e-08
T-FAP,Stromal_other,Col1a2,Cd44,1.0253597209447512e-07,2.0968612604738207e-07,1.0715015395290695e-07
Stromal_other,Endothelial,Col1a1,Cd93,1.0438932165971805e-07,7.079925921697207e-08,-3.3590062442745986e-08
Tenocyte,Stromal,Col1a2,Cd44,1.0647735823666962e-07,1.9598866339203286e-06,1.853409275683659e-06
Stromal_other,Macrophage,Col1a2,Cd44,1.0737027367877965e-07,7.332866520067921e-07,6.259163783280125e-07
Stromal,Stromal_other,Col1a1,Cd44,1.1051842580794245e-07,1.9173323681699017e-07,8.121481100904772e-08
Stromal_other,Stromal_other,Col1a1,Cd44,1.1890457493631392e-07,6.708194761260648e-07,5.519149011897509e-07
Tenogenic-progenitor,Stromal,Col1a2,Cd44,1.277043579949789e-07,2.7591166100794935e-06,2.6314122520845147e-06
T-FAP,Smooth_muscle,Col1a2,Itga1_Itgb1,1.3226246764844618e-07,3.113956550249607e-08,-1.011229021459501e-07
T-FAP,Stromal,Col1a1,Cd44,1.3692771208845772e-07,2.8282814080589497e-06,2.691353695970492e-06
Stromal,Smooth_muscle,Col1a1,Itga1_Itgb1,1.4170133323263018e-07,2.326790110377537e-08,-1.1843343212885481e-07
Tenocyte,T-FAP,Sparc,Fgfr1,1.566848747435909e-07,2.1591027387364134e-07,5.922539913005044e-08
Macrophage,TSPC,Apoe,Lrp1,1.6306321801639811e-07,1.2296236421398888e-07,-4.010085380240923e-08
Tenogenic-progenitor,T-FAP,Sparc,Fgfr1,1.7825553152049076e-07,2.629582852117546e-07,8.470275369126382e-08
Stromal_other,Smooth_muscle,Col1a1,Itga1_Itgb1,1.8809414655022965e-07,1.7868219597063753e-07,-9.411950579592123e-09
Stromal,Stromal_other,Col1a2,Cd44,1.8974574797541823e-07,2.558561408211448e-07,6.611039284572658e-08
T-FAP,Stromal,Col1a2,Cd44,2.0171912846402725e-07,3.5844267794990746e-06,3.3827076510350474e-06
Stromal,Stromal,Col1a1,Cd44,2.1418560021475336e-07,3.2676350623852846e-06,3.0534494621705314e-06
Stromal_other,Stromal,Col1a1,Cd44,2.2715508904516306e-07,4.336962002462837e-06,4.109806913417674e-06
Tenocyte,TSPC,Vim,Cd44,2.3024574689544185e-07,9.615087739769035e-06,9.384841992873594e-06
Stromal,Smooth_muscle,Col1a2,Itga1_Itgb1,2.3383156629745427e-07,3.8582031138596204e-08,-1.9524953515885808e-07
T-FAP,T-FAP,Sparc,Fgfr1,2.4063751936195376e-07,3.163833000439095e-07,7.574578068195572e-08
TSPC,Endothelial,Col1a1,Cd93,2.475741885690504e-07,1.7452925538874184e-07,-7.304493318030854e-08
Stromal,Stromal,Col1a2,Cd44,2.6184463629169374e-07,4.656037745327072e-06,4.394193109035378e-06
Tenocyte,Smooth_muscle,Col3a1,Itga1_Itgb1,2.998950942464512e-07,6.214346616681017e-08,-2.3775162807964103e-07
TSPC,Macrophage,Fn1,Cd44,3.015854445893281e-07,3.9630932791393506e-06,3.6615078345500224e-06
TSPC,Stromal_other,Col1a1,Cd44,3.328594614822299e-07,1.1325948672420419e-06,7.99735405759812e-07
Macrophage,Tenogenic-progenitor,Apoe,Lrp1,3.5206662557980023e-07,9.822401029357788e-07,6.301734773559786e-07
Stromal,T-FAP,Sparc,Fgfr1,3.591071275920634e-07,7.770128987141333e-07,4.179057711220699e-07
TSPC,T-FAP,Sparc,Fgfr1,3.8669858782501866e-07,1.0352685462665694e-06,6.485699584415508e-07
TSPC,Smooth_muscle,Col1a1,Itga1_Itgb1,4.1566729062728473e-07,3.3593215696271335e-07,-7.973513366457138e-08
Macrophage,Macrophage,Apoe,Trem2,4.378776017262834e-07,1.4020443617115118e-05,1.3582566015388835e-05
Stromal,TSPC,Fn1,Cd44,4.53410103786212e-07,1.552318381701903e-05,1.5069773713232818e-05
TSPC,Macrophage,Vim,Cd44,4.613121269026854e-07,2.1467133895186035e-05,2.100582176828335e-05
Tenocyte,TSPC,Fn1,Sdc2,4.6930536046991515e-07,1.2358309465180082e-06,7.665255860480931e-07
Tenocyte,T-FAP,Col1a1,Cd44,4.999046470784576e-07,9.801681244300837e-06,9.30177659722238e-06
T-FAP,TSPC,Fn1,Cd44,5.106579456916382e-07,2.046842654010514e-05,1.9957768594413502e-05
TSPC,Stromal,Col1a1,Cd44,5.111712317739541e-07,1.2393067775584652e-05,1.1881896543810698e-05
Tenocyte,Stromal,Sparc,Fgfr1,5.226057015203278e-07,1.0120573806006242e-07,-4.213999634602654e-07
TSPC,Stromal_other,Col1a2,Cd44,5.342092939144074e-07,2.707387304280109e-06,2.1731780103657017e-06
Tenogenic-progenitor,Stromal,Sparc,Fgfr1,5.459832464648439e-07,1.8598486058568154e-07,-3.5999838587916235e-07
T-FAP,Stromal,Sparc,Fgfr1,6.332749309048644e-07,2.222563128206073e-07,-4.1101861808425707e-07
Stromal_other,Stromal_other,Col1a2,Cd44,6.49127533029948e-07,4.232768346849953e-06,3.5836408138200054e-06
T-FAP,TSPC,Vim,Cd44,6.591566697101586e-07,2.187551451480418e-05,2.1216357845094022e-05
Stromal_other,TSPC,Fn1,Cd44,6.692884891243935e-07,1.6610765386902337e-05,1.5941476897777943e-05
Tenogenic-progenitor,TSPC,Vim,Cd44,6.795235124196479e-07,1.92169478264771e-05,1.853742431405745e-05
Tenogenic-progenitor,T-FAP,Col1a1,Cd44,6.870943340457074e-07,1.7076517129098285e-05,1.6389422795052578e-05
Tenocyte,Tenogenic-progenitor,Sparc,Fgfr1,7.293991935658593e-07,4.338982317353092e-07,-2.9550096183055007e-07
TSPC,Endothelial,Col1a2,Cd93,7.322649253056381e-07,3.688201288025533e-07,-3.6344479650308475e-07
Macrophage,TSPC,Vim,Cd44,7.43130114413581e-07,2.937832374384715e-05,2.863519362943357e-05
Tenogenic-progenitor,Tenogenic-progenitor,Sparc,Fgfr1,7.585449338120328e-07,5.535184479171437e-07,-2.0502648589488902e-07
Endothelial,Macrophage,Vim,Cd44,7.651815669430198e-07,2.6362931215443775e-05,2.5597749648500755e-05
Tenocyte,T-FAP,Col1a2,Cd44,8.666485098944354e-07,1.8989113614182035e-05,1.81224651042876e-05
Stromal_other,Endothelial,Col1a2,Cd93,9.066991129840371e-07,6.912309793747986e-07,-2.1546813360923852e-07
Macrophage,Stromal,Apoe,Lrp1,9.19221753391088e-07,1.4270558328734285e-06,5.078340794823406e-07
TSPC,Stromal,Col1a2,Cd44,9.318590558636919e-07,1.6961432135186496e-05,1.6029573079322805e-05
Stromal,Stromal,Sparc,Fgfr1,9.49841651916213e-07,5.747631322327778e-07,-3.750785196834352e-07
T-FAP,Tenogenic-progenitor,Sparc,Fgfr1,9.845537302920105e-07,7.070635080983505e-07,-2.7749022219366e-07
