source,target,ligand_complex,receptor_complex,rank_innervated,rank_denervated,delta_rank
Tenogenic-progenitor,Tenogenic-progenitor,Apoe,Lrp1,0.008008049299179809,0.009503272670985994,0.0014952233718061852
Tenocyte,Smooth_muscle,Lgals3,Mcam,0.008023398669898828,0.012877139278269546,0.004853740608370717
TSPC,T-FAP,Fn1,Sdc1,0.008031295367273872,0.10185524979131587,0.093823954424042
Stromal_other,Tenogenic-progenitor,Serpinf1,Plxdc2,0.008033642221396967,0.008882718126702407,0.0008490759053054395
Stromal,Smooth_muscle,Ptn,Ncl,0.008038767189646986,0.012487860818295731,0.004449093628648745
TSPC,Macrophage,Lama4,Cd44,0.008049023513140836,0.010151350284847439,0.002102326771706603
Endothelial,Tenocyte,Col4a1,Sdc1,0.008054154869181348,0.006800669779072994,-0.0012534850901083534
Macrophage,Tenogenic-progenitor,Calr,Lrp1,0.008064423971841038,0.005263922737227907,-0.0028005012346131305
Tenocyte,Tenocyte,Col6a2,Itga11_Itgb1,0.008069561719256733,0.006182436971311209,-0.0018871247479455245
TSPC,Tenocyte,Col6a2,Sdc1,0.008079843608250885,0.012569170962920387,0.004489327354669502
TSPC,Stromal,Psap,Lrp1,0.008090134025449834,0.005054808484569536,-0.003035325540880298
Tenocyte,Smooth_muscle,Comp,Sdc1,0.00809528243312142,0.00687378679154545,-0.0012214956415759698
Tenogenic-progenitor,Tenocyte,Psap,Lrp1,0.008100432974038523,0.005694885485654944,-0.0024055474883835793
Tenocyte,Smooth_muscle,Mfge8,Pdgfrb,0.008105585648599194,0.004998735973224226,-0.003106849675374968
Smooth_muscle,TSPC,Col18a1,Itgb5,0.008110740457201443,0.006195283593466372,-0.0019154568637350716
Tenogenic-progenitor,TSPC,App,Lrp1,0.008126217691237494,0.0025911894464434168,-0.005535028244794077
T-FAP,Tenocyte,Fn1,Itgav_Itgb1,0.008127326905663465,0.00656979117911223,-0.0015575357265512346
Tenogenic-progenitor,Tenogenic-progenitor,Thbs4,Sdc1,0.008134214765915242,0.010832754655133269,0.002698539889218027
Tenocyte,Tenocyte,Hspg2,Itgb1,0.008152055799269713,0.005115070704282785,-0.003036985094986928
Stromal_other,Tenocyte,Col6a3,Cd44,0.008162406003055594,0.014654785339008864,0.00649237933595327
Stromal_other,Tenocyte,Sema3a,Nrp1_Plxna2,0.008177001266337431,0.0782548867104446,0.07007788544410717
Stromal,Endothelial,App,Aplp2,0.00818313207482422,0.004800245519779931,-0.00338288655504429
T-FAP,Smooth_muscle,Col6a2,Cd44,0.008198699097348508,0.01370781605475108,0.005509116957402572
Stromal,Tenocyte,Fn1,Itgav_Itgb1,0.00820330254194714,0.006546244252422359,-0.001657058289524782
Macrophage,T-FAP,Thbs1,Lrp1,0.008209087817708016,0.027662199165798512,0.019453111348090496
Stromal,Stromal_other,Psap,Lrp1,0.008219485106052025,0.006887553047763345,-0.0013319320582886804
T-FAP,Stromal_other,C3,Lrp1,0.00822989096555989,0.005058561201607396,-0.0031713297639524947
Tenogenic-progenitor,Tenogenic-progenitor,Fn1,Itgav_Itgb1,0.008231044272783919,0.007746324458983371,-0.00048471981380054756
Tenogenic-progenitor,Smooth_muscle,Thbs2,Notch3,0.008235097110493706,0.004391449889684767,-0.0038436472208089392
Macrophage,Macrophage,Col1a2,Cd44,0.008240305399410553,0.011308872240911812,0.0030685668415012593
Stromal_other,Tenogenic-progenitor,Col6a3,Cd44,0.008250728410782473,0.012953156720629475,0.004702428309847002
Stromal_other,Smooth_muscle,Lgals3,Mcam,0.008255943134032056,0.005510307496884923,-0.0027456356371471334
Endothelial,TSPC,Lgals1,Itgb1,0.008261160002853683,0.015894743892377886,0.007633583889524204
Stromal_other,TSPC,Col14a1,Cd44,0.008265807247841785,0.02918330344600457,0.020917496198162785
Tenocyte,Stromal_other,Pkm,Cd44,0.008266379017644538,0.017300591913055347,0.00903421289541081
Stromal,Tenocyte,Hsp90b1,Lrp1,0.00827682348672251,0.0069197442062423915,-0.001357079280480119
Tenogenic-progenitor,Stromal_other,Fbn1,Itgb1,0.008287276544442902,0.004189258376380274,-0.004098018168062628
T-FAP,Tenogenic-progenitor,Hspg2,Lrp1,0.008292506295036667,0.0077121397336135725,-0.0005803665614230943
Stromal,Endothelial,Col1a2,Cd36,0.008293686350616414,7.201852546259334e-06,-0.008286484498070155
Endothelial,Tenocyte,Col1a1,Cd44,0.00832392992787953,0.01588684049061708,0.007562910562737552
Tenogenic-progenitor,Tenocyte,Col5a1,Itga11_Itgb1,0.008329174725271298,0.005662499278806569,-0.002666675446464729
Tenocyte,Endothelial,Fbn1,Itgb1,0.008339670773841882,0.005502372326722553,-0.002837298447119329
Tenogenic-progenitor,Stromal,Col14a1,Cd44,0.008344922025814253,0.0149719842352526,0.006627062209438346
Stromal_other,TSPC,Col1a2,Sdc1,0.008349628073021894,0.0076223014510063405,-0.0007273266220155531
Smooth_muscle,TSPC,App,Lrp1,0.008350175430107003,0.003357619659390422,-0.004992555770716582
Stromal,Macrophage,Col1a2,Cd36,0.008356638011390787,0.010263306298985662,0.0019066682875948752
Macrophage,TSPC,Tgfb1,Sdc2,0.008365948560874505,0.011921663246917645,0.0035557146860431404
Stromal,Tenocyte,Col6a2,Sdc1,0.008371210578415599,0.00790146763284902,-0.0004697429455665786
Macrophage,Endothelial,Col1a1,Cd93,0.00837647475026035,0.005610128704074273,-0.002766346046186078
Smooth_muscle,Stromal,Calr,Lrp1,0.008381741076805326,0.006682939887479282,-0.0016988011893260442
Stromal_other,Stromal,Fn1,Sdc1,0.008398778114755819,0.015023388986555844,0.006624610871800026
Stromal,Endothelial,Timp1,Cd63,0.008408105043911606,0.05899261869270695,0.05058451364879535
Stromal,Tenogenic-progenitor,Hspg2,Lrp1,0.00841338430698436,0.006438294923275266,-0.0019750893837090933
Endothelial,Tenogenic-progenitor,Col1a1,Cd44,0.008423949305952538,0.014033507334094595,0.005609558028142057
Tenocyte,Tenocyte,Col6a3,Sdc1,0.008439812992406292,0.007347192766029003,-0.0010926202263772892
Tenocyte,TSPC,Spp1,Cd44,0.008441056318861091,0.012102375639714908,0.003661319320853817
Tenocyte,T-FAP,Fn1,Itga5_Itgb1,0.008448116126937055,0.006064403855462432,-0.002383712271474623
T-FAP,Tenocyte,Col14a1,Cd44,0.00845039957999954,0.01057061183337267,0.0021202122533731296
Endothelial,TSPC,Lamb1,Cd44,0.008455696113972016,0.017899998728035244,0.009444302614063227
Tenocyte,Stromal_other,Irak4,Tlr4,0.008458743032572448,0.0467595222027312,0.03830077917015875
T-FAP,Macrophage,Calr,Lrp1,0.008460994808589936,0.01263719099711552,0.004176196188525584
TSPC,Tenogenic-progenitor,Col1a1,Itga5,0.008462247272171992,0.008406919635480617,-5.532763669137582e-05
Tenogenic-progenitor,TSPC,Timp3,Cd44,0.008469318611210867,0.011628777896560888,0.0031594592853500213
Endothelial,TSPC,App,Lrp1,0.008471598681346582,0.002170349258638041,-0.006301249422708541
Macrophage,T-FAP,Apoe,Abca1,0.008476393795783792,0.0022299811605751606,-0.006246412635208631
Tenogenic-progenitor,Smooth_muscle,Col14a1,Itga1_Itgb1,0.008487520705224627,0.004614047555455302,-0.003873473149769325
Smooth_muscle,T-FAP,Fn1,Sdc2,0.008492832372032877,0.01459486415685863,0.006102031784825752
Tenogenic-progenitor,Macrophage,Apoe,Trem2,0.008514100677402417,0.02893076115085232,0.0204166604734499
Stromal,TSPC,Fbn1,Itgb3,0.008519423165258383,0.025194865263399962,0.016675442098141577
T-FAP,Tenogenic-progenitor,Nid1,Itgb1,0.008530074637557426,0.004202544139136279,-0.004327530498421147
T-FAP,Tenogenic-progenitor,Col14a1,Cd44,0.008546068093410242,0.009497611026113548,0.0009515429327033066
T-FAP,T-FAP,Cxcl12,Sdc4,0.00855140357958517,0.004252611360263635,-0.004298792219321536
Tenocyte,Endothelial,App,Aplp2,0.008562081055644957,0.004491422364732579,-0.004070658690912377
Stromal,Stromal_other,Serpinf1,Plxdc2,0.008567423046321037,0.00472806043500217,-0.003839362611318867
Macrophage,Stromal,C1qb,C1qbp,0.008575850686966745,0.015033479828806911,0.006457629141840166
Macrophage,Tenogenic-progenitor,Psap,Ar,0.00860440577528076,0.0075446419186043796,-0.001059763856676381
TSPC,TSPC,Nid1,Itgb1,0.00860487773403219,0.004259316339693671,-0.004345561394338519
Macrophage,Smooth_muscle,Tgfb1,Itgb1,0.008610237087447629,0.0049615811970793915,-0.0036486558903682373
Stromal,Stromal_other,Col6a1,Sdc1,0.008625862653656767,0.010184701632351115,0.0015588389786943477
Stromal_other,TSPC,Fn1,Plaur,0.008640186568615885,0.027707074474796728,0.019066887906180843
Smooth_muscle,Stromal,Timp2,Itgb1,0.008642438836332466,0.009334376071015662,0.0006919372346831966
Tenocyte,TSPC,Mdk,Sdc2,0.008647813402900946,0.01570576293147281,0.007057949528571864
TSPC,Stromal,Mmp2,Fgfr1,0.008653190144357822,0.0033950683748892934,-0.005258121769468529
Stromal_other,TSPC,Lama4,Cd44,0.008658569061098227,0.018608760942551372,0.009950191881453145
Tenocyte,Macrophage,Lamb2,Rpsa,0.008661701453872095,0.009524801951262044,0.000863100497389949
Endothelial,Stromal_other,Timp2,Itgb1,0.008663950153517248,0.007223358022449271,-0.0014405921310679769
Stromal,Macrophage,Pkm,Cd44,0.008669333422009953,0.021992661734787037,0.013323328312777084
T-FAP,Stromal,Fn1,Sdc1,0.008676064063525682,0.01833113643344392,0.009655072369918239
Tenocyte,TSPC,Clec11a,Itgb1,0.008685496287880408,0.007237576663030448,-0.0014479196248499597
Macrophage,TSPC,Apoe,Lrp6,0.008690442164180525,0.005788913260388208,-0.0029015289037923166
Stromal,T-FAP,Col14a1,Cd44,0.00869088826461795,0.010723028569883638,0.0020321403052656877
TSPC,Tenogenic-progenitor,App,Lrp1,0.008696282419404087,0.006691948455766273,-0.002004333963637814
Stromal_other,T-FAP,C1qb,Lrp1,0.008701678752633724,0.005563924145464189,-0.0031377546071695347
T-FAP,TSPC,Col4a1,Cd44,0.00871203837718945,0.0065044264240350326,-0.0022076119531544173
T-FAP,Tenogenic-progenitor,Vcan,Itgb1,0.008712477956002941,0.011954498265103709,0.0032420203091007675
TSPC,TSPC,Col1a1,Sdc1,0.008719244868480578,0.008686740535987258,-3.250433249332024e-05
Tenogenic-progenitor,Endothelial,Gnai2,Cav1,0.008728693109253874,0.006952033325579568,-0.0017766597836743059
Stromal,Stromal,Fn1,Sdc1,0.008733669487115573,0.018285281399897633,0.00955161191278206
Smooth_muscle,TSPC,Lama4,Cd44,0.008734102521435813,0.014617315980249852,0.005883213458814039
T-FAP,Macrophage,Anxa2,Tlr2,0.008744927889815398,0.017865878427173108,0.00912095053735771
Smooth_muscle,Macrophage,Thbs1,Sdc4,0.008761182308343772,0.006268410332462254,-0.0024927719758815175
T-FAP,T-FAP,Nid1,Itgb1,0.008766604813687367,0.006588827172077948,-0.002177777641609419
Smooth_muscle,Stromal_other,Col1a1,Itga5,0.008769798954381075,0.007151609701320764,-0.0016181892530603105
Tenocyte,Tenogenic-progenitor,Igfbp4,Lrp6,0.008777456375493011,0.008012449248367661,-0.00076500712712535
Stromal_other,Tenocyte,Col6a2,Cd44,0.008782885432744058,0.013274198182792121,0.004491312750048063
Tenocyte,TSPC,Serping1,Lrp1,0.008788316674753193,0.0039643893462178855,-0.004823927328535308
TSPC,TSPC,S100a4,Egfr,0.008798772451254409,0.004464671933576772,-0.0043341005176776365
TSPC,Macrophage,Hsp90b1,Lrp1,0.00879918571462343,0.010982288715279499,0.0021831030006560694
Stromal,TSPC,Fbn1,Itga5,0.008804623513273295,0.013650433118022585,0.00484580960474929
Stromal_other,Stromal_other,Fn1,Plaur,0.00881328252796911,0.007878287470174475,-0.0009349950577946346
Tenocyte,T-FAP,Thbs1,Sdc4,0.008815505669974228,0.007110264020156733,-0.0017052416498174955
TSPC,T-FAP,Anxa1,Egfr,0.008826396575172056,0.008769384797033404,-5.7011778138651645e-05
Macrophage,Tenogenic-progenitor,Timp2,Itgb1,0.008831845309442934,0.0067009649420106746,-0.00213088036743226
Stromal_other,TSPC,Ptn,Sdc2,0.008837296232020734,0.01915649967252984,0.010319203440509107
Tenocyte,TSPC,Apoe,Sdc2,0.008853662133537268,0.020655187616581656,0.011801525483044388
Stromal_other,Tenogenic-progenitor,Col6a2,Cd44,0.008891925901384086,0.011823509388804256,0.00293158348742017
Stromal,Tenogenic-progenitor,Col6a1,Sdc1,0.008893366324235518,0.011388575669719792,0.002495209345484273
Smooth_muscle,TSPC,Mif,Ackr3,0.008908357540773503,0.008367100572159674,-0.0005412569686138284
Macrophage,T-FAP,Hsp90b1,Lrp1,0.008913839141023887,0.005217824681942661,-0.0036960144590812262
Smooth_muscle,Tenogenic-progenitor,Thbs1,Lrp1,0.008919322935490885,0.005156772201464386,-0.0037625507340264984
Stromal,Stromal_other,Dcn,Egfr,0.008922604664068145,0.006331041160732847,-0.0025915635033352978
Tenogenic-progenitor,Tenogenic-progenitor,Hspg2,Lrp1,0.008924808924568256,0.006097237009499206,-0.00282757191506905
T-FAP,Stromal,Cxcl12,Ackr3,0.008935787488129017,0.014742621999933633,0.005806834511804616
Stromal_other,Smooth_muscle,Thbs4,Sdc1,0.008941280063399783,0.0058917456973276525,-0.0030495343660721305
Endothelial,Stromal_other,Fn1,Cd44,0.008946774834855663,0.01983284877513316,0.010886073940277496
T-FAP,Tenocyte,Hspg2,Itgb1,0.008952271802890288,0.007594101305256822,-0.0013581704976334662
T-FAP,TSPC,Fn1,Plaur,0.00896657932943471,0.033792337995375774,0.024825758665941063
T-FAP,Tenogenic-progenitor,App,Lrp1,0.008979789605519206,0.005796871602377965,-0.0031829180031412415
Smooth_muscle,Stromal_other,Fn1,Sdc2,0.008990812116395455,0.020218236227156273,0.011227424110760819
Stromal,Stromal,Nid1,Itgb1,0.008996326671226894,0.004474080589865725,-0.004522246081361169
T-FAP,T-FAP,Vcan,Itgb1,0.009001843426178383,0.020993955519613822,0.01199211209343544
Stromal,TSPC,Fn1,Plaur,0.009003332404971618,0.03370743083310543,0.02470409842813381
Tenocyte,Stromal_other,Hspg2,Itgb1,0.009007362381643257,0.0068052246584048345,-0.002202137723238422
Endothelial,TSPC,Col1a1,Ddr2,0.009012883538014826,0.00815003524081225,-0.0008628482972025762
Endothelial,TSPC,Hspg2,Itgb1,0.009018406895686374,0.007540396236189719,-0.0014780106594966544
Tenocyte,Stromal_other,Irak4,Tlr7,0.009022181822952995,0.06556896652645833,0.05654678470350533
TSPC,Endothelial,Vcan,Selp,0.009025431220854384,0.004460094568608929,-0.004565336652245454
T-FAP,Smooth_muscle,Col6a3,Cd44,0.0090294602165024,0.011915103272382108,0.0028856430558797073
TSPC,Endothelial,Fn1,Robo4,0.009032805326841292,0.0035339119829749816,-0.00549889334386631
Stromal_other,Tenogenic-progenitor,App,Lrp1,0.009034990180433302,0.0061482643570042305,-0.002886725823429071
Stromal,Stromal,App,Lrp1,0.009046056717306745,0.004498371370811414,-0.004547685346495332
T-FAP,Tenocyte,Hsp90b1,Lrp1,0.00905159329103555,0.006850882931215834,-0.0022007103598197164
Tenogenic-progenitor,Smooth_muscle,Angptl1,Itga1_Itgb1,0.009068216238107257,0.010258108524486978,0.0011898922863797217
Tenogenic-progenitor,Stromal_other,Col6a1,Sdc1,0.009069734653950876,0.009293936924458292,0.00022420227050741655
Macrophage,Stromal,Col1a1,Cd44,0.009073761630403033,0.025490955169515023,0.016417193539111988
Smooth_muscle,Smooth_muscle,Fn1,Cd44,0.009084859032260298,0.016575859035718482,0.0074910000034581845
Macrophage,Smooth_muscle,F13a1,Itgb1,0.009090411042607653,0.004818403697800265,-0.004272007344807388
T-FAP,Stromal_other,Fn1,Plaur,0.009106762061839134,0.009805192283536794,0.0006984302216976601
Smooth_muscle,Tenogenic-progenitor,Hsp90b1,Lrp1,0.009118204204246584,0.008227132258738667,-0.000891071945507917
Tenocyte,Stromal_other,Hsp90b1,Lrp1,0.009123769461304469,0.008753271565430432,-0.0003704978958740373
Tenocyte,T-FAP,Igfbp4,Lrp6,0.00912933692752214,0.007404810804947646,-0.0017245261225744945
Stromal,Tenocyte,Hspg2,Itgb1,0.009140478489007623,0.0063290535620293235,-0.0028114249269782995
Macrophage,T-FAP,Timp2,Itgb1,0.009146052585060741,0.011545044922959527,0.002398992337898786
Stromal,Stromal_other,Fn1,Plaur,0.00916621021331569,0.009782260672226735,0.0006160504589110445
Smooth_muscle,Stromal,Timp2,Cd44,0.009168371080503113,0.026975420356935894,0.01780704927643278
Stromal,T-FAP,Vcan,Cd44,0.009179543600457758,0.04353696895068353,0.03435742535022577
Stromal,Macrophage,Vcan,Tlr2,0.009185133179867131,0.018872515921258094,0.009687382741390962
Macrophage,Macrophage,Lgals1,Itgb1,0.009190724972754437,0.008196236724349572,-0.0009944882484048644
T-FAP,Tenogenic-progenitor,Col3a1,Itga11_Itgb1,0.009196028707541938,0.005222043672985539,-0.0039739850345564
Smooth_muscle,Tenocyte,Col6a3,Itga11_Itgb1,0.00919631897951208,0.01532445201778955,0.006128133038277471
Macrophage,Smooth_muscle,Col1a1,Itga1_Itgb1,0.00920191520053241,0.006993692067260001,-0.002208223133272409
Smooth_muscle,TSPC,Lamb1,Cd44,0.009207513636207771,0.017577550014725538,0.008370036378517767
Endothelial,T-FAP,Col1a1,Ddr2,0.009235539048139788,0.011366028208821566,0.002130489160681778
Tenocyte,Endothelial,Lgals3,Eng,0.00925238089626275,0.01227939022777298,0.0030270093315102296
Tenocyte,Tenogenic-progenitor,Col1a1,Itga11_Itgb1,0.009255854830931828,0.004382748609816761,-0.004873106221115067
Tenogenic-progenitor,Tenogenic-progenitor,Thbs2,Cd47,0.009257999281483877,0.011538620182867936,0.0022806209013840582
Tenogenic-progenitor,TSPC,Lama4,Cd44,0.009263619885281854,0.013543259965266643,0.004279640079984789
TSPC,Macrophage,Hsp90b1,Tlr2,0.009269242708048717,0.010246210644780407,0.0009769679367316892
Stromal_other,Endothelial,Col1a2,Cd36,0.00927085080832134,2.208162731243852e-05,-0.009248769181008901
Endothelial,TSPC,Hspg2,Lrp1,0.009286124494082474,0.004159466014894729,-0.005126658479187745
Stromal_other,Stromal_other,Sema3a,Nrp1_Plxna2,0.009303878848151193,0.04731370184410323,0.03800982299595204
Stromal,TSPC,Serpinf1,Plxdc2,0.009308664631470082,0.00476045520055043,-0.0045482094309196525
Tenogenic-progenitor,Stromal_other,Thbs2,Cd47,0.00931430522009772,0.010753682148113834,0.0014393769280161145
Stromal_other,Macrophage,Col1a2,Cd36,0.009315933531256844,0.011669006183470389,0.0023530726522135448
Endothelial,Stromal_other,Timp2,Cd44,0.009325593065232427,0.014290256630936648,0.004964663565704221
Smooth_muscle,Tenogenic-progenitor,Apoe,Lrp1,0.00933124032252297,0.015604007777086768,0.006272767454563798
Tenocyte,Macrophage,Tnc,Sdc4,0.009336889803484573,0.009992570939409163,0.0006556811359245893
T-FAP,Macrophage,C4b,C3ar1,0.009342541508508901,0.007545268254754548,-0.0017972732537543529
Tenogenic-progenitor,Tenogenic-progenitor,Col6a1,Sdc1,0.009346067746567347,0.010461539787462263,0.0011154720408949152
Tenogenic-progenitor,Smooth_muscle,Lgals3,Mcam,0.009348195437987601,0.016397796942838515,0.007049601504850914
Stromal_other,Macrophage,Thbs1,Sdc4,0.009353851592312282,0.006615627691237509,-0.0027382239010747735
TSPC,T-FAP,Serpinf1,Plxdc2,0.009370833408277894,0.011239268725389131,0.0018684353171112365
Stromal_other,T-FAP,Apoe,Sdc2,0.00937649846590205,0.010920195073800728,0.0015436966078986782
Endothelial,Stromal,Apoe,Sdc2,0.009382165750329824,0.029082127747933385,0.01969996199760356
TSPC,Tenocyte,Col1a1,Itga5,0.009398955029484742,0.007365445961865105,-0.0020335090676196366
Stromal_other,Stromal_other,Col6a1,Sdc1,0.009399180968349151,0.013113040762994282,0.003713859794645131
Tenocyte,Stromal,App,Lrp1,0.00940485716390556,0.004172689879422872,-0.0052321672844826885
TSPC,Tenocyte,Psap,Lrp1,0.009410535588222533,0.007511207172242757,-0.0018993284159797754
TSPC,Tenocyte,Col6a3,Sdc1,0.00941621624169137,0.04208880655941348,0.032672590317722114
Smooth_muscle,Stromal,Psap,Lrp1,0.00942189912470335,0.006337748007382009,-0.0030841511173213404
Stromal_other,Smooth_muscle,Col6a3,Sdc1,0.009433271580921707,0.014305019136406253,0.0048717475554845464
Stromal_other,Tenogenic-progenitor,Thbs1,Lrp1,0.009444652960007259,0.005356915661378652,-0.004087737298628607
Stromal,Tenogenic-progenitor,Cxcl12,Itgb1,0.009450346996603133,0.00714312961838596,-0.002307217378217173
Tenocyte,Stromal_other,Psap,Lrp1,0.009456043265089227,0.007791492219207652,-0.0016645510458815757
Smooth_muscle,Macrophage,Serping1,Lrp1,0.009461741765856622,0.01380861170845247,0.004346869942595848
Stromal_other,Endothelial,Lgals3,Eng,0.00947314546579951,0.005310286164377105,-0.004162859301422406
TSPC,Stromal_other,Col6a1,Sdc1,0.00947484532445385,0.01275363102025264,0.0032787856957987895
TSPC,Macrophage,Copa,Cd74,0.009484558099559889,0.00490986857458987,-0.004574689524970019
Smooth_muscle,Stromal_other,Col1a1,Sdc1,0.009490071035216423,0.011422331675534556,0.0019322606403181335
Stromal_other,Tenogenic-progenitor,Col6a1,Sdc1,0.009520570167885344,0.01320397299086871,0.003683402822983366
Tenogenic-progenitor,Stromal,Hsp90b1,Lrp1,0.009530298035322729,0.00610996782477736,-0.0034203302105453685
Smooth_muscle,Tenocyte,Nid1,Itgb1,0.00954748741697427,0.006114215282796677,-0.003433272134177593
Smooth_muscle,Endothelial,Timp2,Itgb1,0.009553221687406913,0.0071525379459782224,-0.002400683741428691
Tenocyte,Tenocyte,Col12a1,Itga11_Itgb1,0.009558958196764986,0.00722809554406077,-0.0023308626527042157
Macrophage,Tenogenic-progenitor,C1qb,C1qbp,0.009566438256018113,0.015502411276425142,0.005935973020407029
Stromal_other,Tenogenic-progenitor,Postn,Itgav_Itgb5,0.009574096878001367,0.01767346938799696,0.008099372509995595
Stromal_other,Tenocyte,Lif,Il6st_Lifr,0.009585560960723105,0.07715298274300794,0.06756742178228484
Stromal_other,Macrophage,Hsp90b1,Lrp1,0.009587674341106182,0.012073189950032552,0.00248551560892637
Tenogenic-progenitor,Tenocyte,Col6a2,Sdc1,0.009599176484988856,0.00782637550383143,-0.0017728009811574259
Endothelial,Smooth_muscle,Col1a1,Sdc1,0.009604930919808945,0.01550267994200437,0.005897749022195425
Stromal_other,TSPC,Hspg2,Itgb1,0.009616446517158416,0.010864506107326071,0.0012480595901676553
TSPC,Endothelial,Col1a1,Cd36,0.009620132337987149,1.923774769936647e-05,-0.009600894590287783
Smooth_muscle,Tenocyte,Col6a1,Cd44,0.009622207680468429,0.02864109281159108,0.01901888513112265
Smooth_muscle,Macrophage,Fn1,C5ar1,0.009627971087388998,0.011075858284360033,0.001447887196971035
Endothelial,Macrophage,Pkm,Cd44,0.00963950463362278,0.015332173353943379,0.0056926687203206
Tenogenic-progenitor,Tenocyte,Hspg2,Itgb1,0.009645274773716394,0.005996013455791598,-0.003649261317924796
Tenogenic-progenitor,TSPC,Gas6,Axl,0.009656821789807878,0.0033461517124702403,-0.006310670077337638
Tenogenic-progenitor,Macrophage,Cxcl12,Sdc4,0.009662598666586001,0.005490483576422828,-0.0041721150901631735
TSPC,Macrophage,Col1a1,Cd36,0.00966631147631755,0.013259013978397911,0.0035927025020803614
TSPC,TSPC,Serping1,Lrp1,0.009697307114081156,0.001714645480494388,-0.007982661633586768
Endothelial,TSPC,Adam10,Cd44,0.009703099723441246,0.01330940133808969,0.0036063016146484442
Stromal_other,Tenocyte,Dcn,Egfr,0.009712634492954727,0.003258393881953244,-0.006454240611001483
Smooth_muscle,Smooth_muscle,Col5a3,Itga1_Itgb1,0.009714691689765695,0.010957423824223345,0.0012427321344576497
Smooth_muscle,Tenogenic-progenitor,Col6a1,Cd44,0.009726292655494729,0.02506457139649157,0.01533827874099684
TSPC,Tenogenic-progenitor,Col6a1,Sdc1,0.009728107506002401,0.014396468090831203,0.004668360584828802
TSPC,TSPC,Postn,Itgav_Itgb5,0.00973209651411045,0.023303610096426928,0.013571513582316478
Tenocyte,Stromal,Pkm,Cd44,0.00973790262374664,0.03889081288490813,0.02915291026116149
Smooth_muscle,Tenogenic-progenitor,Col1a1,Sdc1,0.009743596535133825,0.012954257362805172,0.003210660827671347
Stromal,T-FAP,Cxcl12,Itgb1,0.009761149580290016,0.012420363514207616,0.0026592139339176
Tenogenic-progenitor,Macrophage,Anxa2,Tlr2,0.00977278657481584,0.017552254557594685,0.007779467982778846
Stromal_other,Macrophage,Spp1,Cd44,0.009778608452505829,0.012205963084748774,0.002427354632242945
Smooth_muscle,Tenocyte,Calr,Lrp1,0.009784432584333246,0.010729154739545006,0.0009447221552117604
T-FAP,TSPC,Fbn1,Itgb3,0.009796087611958288,0.02581930775366295,0.016023220141704663
Stromal_other,Tenocyte,Vcan,Itgb1,0.009801918508534822,0.011245584794100245,0.0014436662855654234
TSPC,TSPC,Col1a2,Sdc1,0.009813495563574916,0.009637836432321103,-0.00017565913125381326
TSPC,Stromal_other,Hspg2,Lrp1,0.009813587069162973,0.007409625556251292,-0.0024039615129116806
Tenocyte,TSPC,Lama4,Cd44,0.009836951271221315,0.016746988468581008,0.006910037197359694
Smooth_muscle,Macrophage,Apoe,Trem2,0.009848646918880067,0.04961242599418947,0.039763779075309404
T-FAP,Stromal_other,Hspg2,Itgb1,0.00985449813072911,0.010951213318528956,0.0010967151877998467
Stromal,Macrophage,Fbn1,Itga5,0.009860275512746411,0.011564333071140775,0.0017040575583943639
T-FAP,Smooth_muscle,Fbln1,Itgb1,0.009866207332412343,0.005690830610397906,-0.004175376722014437
Stromal,TSPC,Apoe,Lrp1,0.009872065323024766,0.0032356825186312037,-0.006636382804393562
TSPC,Tenogenic-progenitor,Mmp2,Fgfr1,0.009877925574003169,0.004825679528243608,-0.005052246045759561
Stromal_other,Endothelial,Ybx1,Notch1,0.009883788085736601,0.0074578853330491855,-0.0024259027526874156
Stromal_other,TSPC,Hspg2,Lrp1,0.009889652858614083,0.00551427788416219,-0.004375374974451893
Tenocyte,TSPC,Hbegf,Cd9,0.009891542527802737,0.012842681713700128,0.0029511391858973914
Tenogenic-progenitor,Stromal,Fbn1,Itgb1,0.009895519893024604,0.005862764462383368,-0.004032755430641236
Stromal,Endothelial,Nid1,Itgb1,0.009901389189357134,0.003403749089538884,-0.00649764009981825
Stromal_other,Stromal_other,Apoe,Sdc2,0.009907260748000602,0.014797735684234386,0.004890474936233784
Macrophage,TSPC,App,Lrp1,0.009919010653775977,0.00433352831329437,-0.005585482340481607
T-FAP,T-FAP,Gas6,Axl,0.00993665248949292,0.00741444234754211,-0.002522210141950811
Tenocyte,T-FAP,Fn1,Sdc1,0.009938563771497077,0.10291576164512761,0.09297719787363054
T-FAP,Macrophage,Psap,Lrp1,0.0099484250358761,0.00849807488254266,-0.0014503501533334393
Tenogenic-progenitor,Macrophage,Calr,Lrp1,0.00995431470700548,0.011693455311033588,0.0017391406040281072
TSPC,Tenogenic-progenitor,Hspg2,Itgb1,0.009966100847083246,0.005792769438167749,-0.004173331408915497
Tenocyte,Stromal,Hspg2,Lrp1,0.009977896053510607,0.005871035293364642,-0.004106860760145966
Endothelial,Tenocyte,Col4a1,Itga11_Itgb1,0.009983797057576873,0.009007933852751329,-0.0009758632048255441
Endothelial,Tenogenic-progenitor,Calr,Lrp1,0.01000151367784849,0.006860038492705865,-0.003141475185142624
Stromal,Stromal_other,Hspg2,Itgb1,0.010013336101975077,0.009090211654715996,-0.0009231244472590813
