source,target,ligand_complex,receptor_complex,magnitude_rank_innervated,cellphone_pvals_innervated,cellchat_pvals_innervated,magnitude_rank_denervated,cellphone_pvals_denervated,cellchat_pvals_denervated,delta_rank
Stromal,T-FAP,Col1a1,Cd44,1.4013143847116012e-06,0.0,0.0,2.8220624651612185e-05,0.0,0.02,2.6819310266900583e-05
Stromal_other,T-FAP,Col1a1,Cd44,1.5626602511128964e-06,0.0,0.0,2.9363181170004237e-05,0.0,0.06,2.780052091889134e-05
Stromal,T-FAP,Col1a2,Cd44,1.97688269633686e-06,0.0,0.0,4.0237107026899436e-05,0.0,0.0,3.826022433056258e-05
Stromal_other,T-FAP,Sparc,Fgfr1,2.045501840601044e-06,0.0,0.0,3.4665514926206174e-05,0.0,0.0,3.262001308560513e-05
Tenocyte,TSPC,Timp2,Cd44,2.480228643993802e-06,0.0,0.0,1.2264792000911824e-05,0.0,0.0,9.784563356918022e-06
Stromal,TSPC,Fn1,Sdc2,2.5789597684552145e-06,0.0,0.0,6.168741844520432e-05,0.0,0.0,5.91084586767491e-05
T-FAP,TSPC,Fn1,Sdc2,2.8371578110259976e-06,0.0,0.0,6.979110867300294e-05,0.0,0.0,6.695395086197695e-05
TSPC,T-FAP,Col1a1,Cd44,2.9389258751539714e-06,0.0,0.01,8.014401183754433e-05,0.0,0.69,7.720508596239035e-05
Stromal_other,TSPC,Fn1,Sdc2,3.49507949189519e-06,0.0,0.0,6.313053251165524e-05,0.0,0.0,5.963545301976005e-05
Tenogenic-progenitor,TSPC,Fn1,Cd44,3.7457320333756193e-06,0.0,0.0,1.91228457040642e-05,0.0,0.0,1.537711367068858e-05
Smooth_muscle,TSPC,Col4a1,Cd44,4.178086377974761e-06,0.0,0.0,4.211757195668602e-05,0.0,0.0,3.7939485578711264e-05
TSPC,T-FAP,Col1a2,Cd44,4.500599250083646e-06,0.0,0.0,9.845531688857539e-05,0.0,0.55,9.395471763849174e-05
Tenocyte,TSPC,Sparc,Fgfr1,5.158295034264742e-06,0.0,0.0,3.8576747846612276e-07,0.0,0.0,-4.772527555798619e-06
Tenogenic-progenitor,TSPC,Sparc,Fgfr1,5.318639646200861e-06,0.0,0.0,4.7516234403266e-07,0.0,0.0,-4.843477302168202e-06
Stromal_other,T-FAP,Col1a2,Cd44,5.799360506521834e-06,0.0,0.0,6.271595203732885e-05,0.0,0.09,5.691659153080702e-05
T-FAP,TSPC,Sparc,Fgfr1,6.534825479160818e-06,0.0,0.0,6.400398908307052e-07,0.0,0.0,-5.894785588330113e-06
Smooth_muscle,T-FAP,Sparc,Fgfr1,8.998368564306102e-06,0.0,0.0,6.107570798390342e-05,0.0,0.0,5.207733941959732e-05
Macrophage,T-FAP,Apoe,Sdc2,9.585041151575129e-06,0.0,0.0,8.549112747801221e-05,0.0,0.0,7.590608632643708e-05
Stromal,TSPC,Sparc,Fgfr1,9.816211050894804e-06,0.0,0.0,1.1614802678619535e-06,0.0,0.0,-8.654730783032851e-06
TSPC,TSPC,Sparc,Fgfr1,1.0565024249353845e-05,0.0,0.0,1.7113404153971693e-06,0.0,0.0,-8.853683833956676e-06
TSPC,T-FAP,Fn1,Cd44,1.089873349909501e-05,0.0,0.0,0.00017544088706956016,0.0,0.0,0.00016454215357046515
Tenogenic-progenitor,TSPC,Timp2,Cd44,1.1294912545050926e-05,0.0,0.0,6.230318324985518e-05,0.0,0.0,5.100827070480425e-05
T-FAP,TSPC,Col3a1,Ddr2,1.180383066213204e-05,0.0,0.0,1.2492735417961842e-06,0.0,0.0,-1.0554557120335856e-05
Tenocyte,TSPC,Col1a1,Ddr2,1.2174712867328836e-05,0.0,0.0,6.530901726294354e-07,0.0,0.0,-1.15216226946994e-05
T-FAP,T-FAP,Col3a1,Ddr2,1.3333693037069824e-05,0.0,0.0,4.008341583072422e-06,0.0,0.0,-9.325351453997401e-06
Tenocyte,T-FAP,Col1a1,Ddr2,1.3433456630023005e-05,0.0,0.0,2.525919184512694e-06,0.0,0.0,-1.090753744551031e-05
TSPC,T-FAP,Vim,Cd44,1.5795503802524818e-05,0.0,0.0,0.00030508903574767834,0.01,0.81,0.00028929353194515354
T-FAP,TSPC,Timp2,Cd44,1.67320038995655e-05,0.0,0.0,7.619410565400534e-05,0.0,0.0,5.946210175443984e-05
Stromal,TSPC,Col3a1,Ddr2,1.8207809770559574e-05,0.0,0.0,1.4403880960561767e-06,0.0,0.0,-1.6767421674503397e-05
Tenogenic-progenitor,TSPC,Col1a1,Ddr2,1.9078266781569213e-05,0.0,0.0,1.2696196401462775e-06,0.0,0.0,-1.7808647141422934e-05
Tenogenic-progenitor,TSPC,Col3a1,Ddr2,1.9975957323410944e-05,0.0,0.0,1.6258031775219192e-06,0.0,0.0,-1.8350154145889025e-05
Stromal,T-FAP,Col3a1,Ddr2,2.0106446164996682e-05,0.0,0.0,5.423480105354259e-06,0.0,0.0,-1.4682966059642424e-05
Tenocyte,TSPC,Col6a1,Cd44,2.0547005668182258e-05,0.0,0.0,0.0001019395092519149,0.0,0.0,8.139250358373264e-05
Stromal_other,TSPC,Sparc,Fgfr1,2.074658406067387e-05,0.0,0.0,5.0563700268038404e-05,0.0,0.0,2.9817116207364535e-05
Tenogenic-progenitor,T-FAP,Col1a1,Ddr2,2.1442634402464723e-05,0.0,0.0,4.23226958571909e-06,0.0,0.0,-1.7210364816745633e-05
TSPC,TSPC,Fbn1,Itgb1,2.2495277388626592e-05,0.0,0.0,4.198411048467944e-06,0.0,0.0,-1.8296866340158648e-05
Tenogenic-progenitor,T-FAP,Col3a1,Ddr2,2.2694549579867533e-05,0.0,0.0,5.696846038378853e-06,0.0,0.0,-1.6997703541488678e-05
TSPC,T-FAP,Fn1,Sdc2,2.3555584074787007e-05,0.0,0.0,0.00010864801416783485,0.0,0.0,8.509243009304785e-05
Tenogenic-progenitor,TSPC,Fn1,Sdc2,2.3786887602873425e-05,0.0,0.0,6.759398938096436e-05,0.0,0.0,4.380710177809094e-05
Endothelial,T-FAP,Vim,Cd44,2.6516099367768254e-05,0.0,0.01,0.0003291380364652502,0.0,0.92,0.0003026219370974819
TSPC,TSPC,Col3a1,Ddr2,2.8187622365187777e-05,0.0,0.0,2.4937172311378774e-06,0.0,0.0,-2.5693905134049898e-05
T-FAP,TSPC,Col1a1,Ddr2,2.8847481337346663e-05,0.0,0.0,2.015021338950599e-06,0.0,0.0,-2.6832459998396063e-05
TSPC,T-FAP,Col3a1,Ddr2,3.088848357956523e-05,0.0,0.0,9.486185120883226e-06,0.0,0.0,-2.1402298458682007e-05
T-FAP,T-FAP,Col1a1,Ddr2,3.248064828960359e-05,0.0,0.0,7.266998952802736e-06,0.0,0.0,-2.521364933680085e-05
Tenocyte,TSPC,Lgals1,Itgb1,3.258306508040887e-05,0.0,0.0,4.520667563259848e-05,0.0,0.0,1.2623610552189607e-05
Stromal,TSPC,Col1a1,Ddr2,3.699091092263051e-05,0.0,0.0,2.2161112966849576e-06,0.0,0.0,-3.477479962594555e-05
Smooth_muscle,TSPC,Col1a1,Cd44,3.7991900508171573e-05,0.18,0.0,0.000162011037089354,0.92,0.0,0.00012401913658118243
Stromal_other,TSPC,Col1a1,Ddr2,3.980456394912105e-05,0.0,0.0,4.13025431872634e-06,0.0,0.0,-3.567430963039471e-05
Stromal,T-FAP,Col1a1,Ddr2,4.021775777122912e-05,0.0,0.0,8.507605394275134e-06,0.0,0.0,-3.1710152376953984e-05
Stromal_other,T-FAP,Vim,Cd44,4.201687638716203e-05,0.0,0.07,0.00030197328016948866,0.0,0.8,0.00025995640378232663
Stromal_other,T-FAP,Col1a1,Ddr2,4.406543504319891e-05,0.0,0.0,9.025723172020035e-06,0.0,0.0,-3.503971187117888e-05
Stromal_other,TSPC,Lgals1,Itgb1,4.413142975092814e-05,0.0,0.0,8.909732488531218e-05,0.0,0.0,4.496589513438404e-05
Smooth_muscle,T-FAP,Vim,Cd44,4.597492398613549e-05,0.0,0.03,0.0005645768840760006,1.0,0.95,0.0005186019600898651
Stromal,TSPC,Col6a1,Cd44,5.2549869776958947e-05,0.0,0.0,0.00017516129400349,0.0,0.0,0.00012261142422653106
Tenocyte,TSPC,Timp2,Itgb1,5.5000231296627896e-05,0.0,0.0,4.740471527558201e-05,0.0,0.0,-7.5955160210458846e-06
Stromal_other,TSPC,Col3a1,Ddr2,6.0254205854107065e-05,0.0,0.0,5.9664076458388953e-05,0.0,0.0,-5.901293957181117e-07
Tenocyte,TSPC,Col3a1,Ddr2,6.189577680059098e-05,0.0,0.0,4.6076180664766e-06,0.0,0.0,-5.728815873411438e-05
Stromal_other,T-FAP,Col3a1,Ddr2,6.441338827403905e-05,0.0,0.0,9.200053066367286e-05,0.0,0.0,2.7587142389633808e-05
Tenogenic-progenitor,TSPC,Col6a1,Cd44,6.470351724351878e-05,0.0,0.0,0.00015100976110178155,0.0,0.0,8.630624385826278e-05
Tenocyte,T-FAP,Col3a1,Ddr2,6.612900749696056e-05,0.0,0.0,1.8620183002466165e-05,0.0,0.0,-4.75088244944944e-05
Smooth_muscle,TSPC,Col1a2,Cd44,6.839480057868051e-05,0.0,0.0,0.00019995355035880242,0.38,0.0,0.00013155874978012193
Tenogenic-progenitor,TSPC,Lum,Itgb1,6.92831842357238e-05,0.0,0.0,0.00010954403849018304,0.0,0.0,4.026085425445924e-05
Tenocyte,T-FAP,Fn1,Cd44,7.108286556173188e-05,0.0,0.0,0.0001825777696627129,0.0,0.0,0.00011149490410098101
TSPC,TSPC,Col1a1,Ddr2,7.422510443777703e-05,0.0,0.0,7.666127305021084e-06,0.0,0.0,-6.655897713275594e-05
TSPC,TSPC,Col6a1,Cd44,7.477478128303137e-05,0.0,0.0,0.0002658795000884502,0.0,0.0,0.00019110471880541882
