source,target,ligand_complex,receptor_complex,magnitude_rank_innervated,cellphone_pvals_innervated,cellchat_pvals_innervated,magnitude_rank_denervated,cellphone_pvals_denervated,cellchat_pvals_denervated,delta_rank
TSPC,TSPC,Calr,Itgav,0.01707504776485131,0.0,0.0,0.018678861503761156,0.0,0.0,0.0016038137389098456
Stromal_other,TSPC,Fn1,Sdc1,0.017088946313950016,0.0,0.6,0.01781953013578441,0.0,0.31,0.0007305838218343956
Stromal,TSPC,Thbs1,Lrp1,0.017310077139962715,0.0,0.99,0.005294802159800887,0.0,0.0,-0.012015274980161828
Smooth_muscle,TSPC,Col18a1,Itgb3,0.017369159054976466,0.0,0.0,0.028097950748259118,0.0,0.0,0.010728791693282651
Stromal_other,TSPC,Tgfb1,Sdc2,0.017402978542570665,0.0,0.0,0.021895331401921982,0.0,0.0,0.004492352859351317
T-FAP,T-FAP,Lama2,Rpsa,0.017595563189371183,0.0,0.0,0.009023191240897111,0.0,0.0,-0.008572371948474072
T-FAP,TSPC,Fn1,Sdc1,0.01773227872754152,0.0,0.63,0.02186927520857678,0.0,0.53,0.004136996481035261
Stromal,TSPC,Fn1,Sdc1,0.01778944531411659,0.0,0.68,0.021779407515528662,0.0,0.53,0.003989962201412071
Stromal_other,TSPC,Serping1,Lrp1,0.017846507443673287,0.0,0.0,0.00800738274233408,0.0,0.14,-0.009839124701339207
Tenogenic-progenitor,T-FAP,Fn1,Sdc1,0.01784673075017486,0.0,0.8,0.14883377567043,0.0,1.0,0.13098704492025512
Smooth_muscle,TSPC,Mfge8,Itgb5,0.017915383325545466,0.0,0.0,0.008356679788790528,0.0,0.0,-0.009558703536754937
Stromal_other,TSPC,Timp3,Cd44,0.01796165859571024,0.0,0.0,0.012185987047331046,0.0,0.0,-0.005775671548379194
T-FAP,TSPC,Fbln1,Itgb1,0.017967152684689756,0.0,0.0,0.01353613453666877,0.0,0.0,-0.004431018148020986
Macrophage,TSPC,Gdf15,Tgfbr2,0.018001719180274864,0.0,0.0,0.010057062480644889,0.0,0.0,-0.007944656699629975
Stromal_other,T-FAP,Comp,Cd47,0.018079650677122392,0.0,0.0,0.017442912551099463,0.0,0.0,-0.0006367381260229295
Smooth_muscle,TSPC,Col18a1,Itga5,0.018157799607252525,0.0,0.0,0.020006598597126998,0.0,0.0,0.0018487989898744728
Stromal_other,TSPC,Gnai2,Cav1,0.018183897614159523,0.0,0.0,0.030563531997104744,0.0,0.0,0.012379634382945221
Macrophage,T-FAP,Thbs1,Cd47,0.018227448070070165,0.45,1.0,0.06345548951975688,1.0,1.0,0.045228041449686715
Tenogenic-progenitor,TSPC,Wnt11,Klrg2,0.018310312658986493,0.08,1.0,0.0475907698143221,0.1,1.0,0.02928045715533561
Stromal,T-FAP,Ptn,Ncl,0.01831475080901801,0.0,0.0,0.035347743401605,0.0,0.0,0.01703299259258699
Macrophage,T-FAP,Col1a1,Cd44,0.018481368505063413,1.0,1.0,0.04323582605385475,1.0,1.0,0.02475445754879134
T-FAP,TSPC,Lama2,Rpsa,0.018519962482514942,0.0,0.0,0.009728889230649523,0.0,0.0,-0.008791073251865419
Endothelial,T-FAP,Pdgfb,Lrp1,0.018604763180302235,0.0,0.0,0.014135845453589332,0.0,0.0,-0.004468917726712903
Smooth_muscle,T-FAP,Timp2,Cd44,0.01867551246719375,1.0,1.0,0.04538734314896699,1.0,1.0,0.026711830681773237
TSPC,TSPC,Serpinf1,Plxdc2,0.0187997409532724,0.0,0.04,0.015162884535060978,0.0,0.0,-0.003636856418211423
Tenocyte,T-FAP,Thbs4,Sdc1,0.018815126562293453,0.0,0.0,0.1446902337598393,0.0,0.56,0.12587510719754585
T-FAP,TSPC,Serpine2,Lrp1,0.01909467136247559,0.0,0.0,0.006381337166304663,0.0,0.0,-0.012713334196170926
Tenocyte,TSPC,Vcan,Itgb1,0.019112641189326565,0.0,0.0,0.018661320418699057,0.0,0.0,-0.00045132077062750783
Endothelial,TSPC,Col3a1,Ddr2,0.01913062192012908,1.0,0.0,0.02566280402417654,1.0,0.12,0.006532182104047459
T-FAP,T-FAP,Hspg2,Itgb1,0.01914861355771612,0.0,0.0,0.02793075645034883,0.53,0.0,0.008782142892632707
Macrophage,TSPC,H2-K1,Aplp2,0.01921167022108938,0.0,0.0,0.01381582970687453,0.0,0.0,-0.00539584051421485
TSPC,TSPC,Hspg2,Fgfr1,0.019483429653195314,0.0,0.0,0.010015991213518066,0.0,0.0,-0.009467438439677248
T-FAP,TSPC,Angptl4,Sdc2,0.019510741093034963,0.0,0.0,0.03964594119358825,0.0,0.0,0.020135200100553283
Stromal,TSPC,Ptn,Sdc4,0.01952896242672393,0.0,0.0,0.025566047803074126,0.0,0.0,0.006037085376350195
Stromal,T-FAP,Hspg2,Itgb1,0.019565438003915966,0.0,0.0,0.022721570697219567,0.03,0.0,0.003156132693303601
TSPC,TSPC,Fbln2,Itgb3,0.019601957479676003,0.0,0.0,0.01953758563962356,0.0,0.0,-6.437184005244484e-05
Endothelial,T-FAP,Col3a1,Ddr2,0.019629375908510518,1.0,0.0,0.03562592679286713,1.0,0.17,0.01599655088435661
Smooth_muscle,TSPC,Postn,Itgav_Itgb5,0.01964766859112493,0.52,0.0,0.0345475662765885,0.88,0.01,0.014899897685463567
Tenogenic-progenitor,TSPC,Spon2,Itgb1,0.019656819052507195,0.0,0.0,0.032466446532767965,0.0,0.0,0.01280962748026077
Stromal_other,T-FAP,Fadd,Traf2,0.019997320358795933,0.2,1.0,0.0027948573556341788,0.59,1.0,-0.017202463003161753
Endothelial,T-FAP,Hspg2,Fgfr1,0.02000657546925576,0.0,0.0,0.024758326718544107,0.0,0.0,0.004751751249288345
Macrophage,T-FAP,Gdf15,Tgfbr2,0.020080715695148795,0.0,0.0,0.047925801989127624,0.0,0.0,0.02784508629397883
Endothelial,TSPC,Thbs1,Lrp1,0.02008999565486767,0.06,1.0,0.011044611151542308,0.0,0.92,-0.009045384503325362
Stromal_other,TSPC,Cxcl12,Ackr3,0.020108563865823707,0.0,0.0,0.024029049212119,0.0,0.0,0.003920485346295292
Tenocyte,TSPC,Cxcl12,Itgb1,0.020145733463640316,0.0,0.0,0.018495209974845273,0.0,0.0,-0.0016505234887950436
Endothelial,TSPC,Tgfb1,Sdc2,0.020234188658486623,0.0,0.0,0.02946864279288411,0.0,0.0,0.009234454134397486
Tenocyte,T-FAP,Pkm,Cd44,0.02033224570075059,0.06,0.02,0.06656047395401823,0.71,0.56,0.046228228253267646
Endothelial,TSPC,Mif,Ackr3,0.02040716099697035,0.0,0.0,0.01852137424641618,0.0,0.0,-0.0018857867505541713
TSPC,TSPC,Apoe,Sdc2,0.020425917570479585,0.79,0.0,0.0812542769786467,0.92,0.79,0.060828359408167124
Tenogenic-progenitor,T-FAP,Igf1,Igf2r,0.02067515444718373,0.0,0.0,0.021856422379020576,0.0,0.0,0.001181267931836847
Smooth_muscle,T-FAP,Nid1,Itgb1,0.020793893892954544,0.0,0.0,0.021470372818671597,0.0,0.0,0.0006764789257170528
Tenogenic-progenitor,T-FAP,Mdk,Lrp1,0.020888929514216777,0.0,0.0,0.013953436281175718,0.0,0.0,-0.00693549323304106
Tenogenic-progenitor,T-FAP,Hspg2,Itgb1,0.021051131358625717,0.0,0.0,0.020758323466563002,0.0,0.0,-0.00029280789206271446
Smooth_muscle,TSPC,Postn,Itgav_Itgb3,0.02106069782143484,0.0,0.0,0.06404440135987331,0.0,0.0,0.04298370353843847
Stromal_other,TSPC,Serpinf1,Plxdc2,0.021146922017025338,0.0,0.0,0.01627710269396846,0.0,0.0,-0.004869819323056877
Macrophage,T-FAP,Grn,Egfr,0.021233373245755034,0.0,0.0,0.015448295522251552,0.0,0.0,-0.005785077723503482
Smooth_muscle,T-FAP,Hspg2,Lrp1,0.021339344545197963,0.0,0.31,0.011416990630946833,0.0,0.0,-0.00992235391425113
Stromal_other,TSPC,Comp,Cd47,0.021416628102100824,0.0,0.02,0.016220975799698,0.0,0.0,-0.0051956523024028235
Stromal_other,T-FAP,Vcan,Itgb1,0.021445655834499786,0.0,0.0,0.04104849767540621,0.03,0.0,0.019602841840906427
Macrophage,TSPC,Thbs1,Cd47,0.02154259788268512,0.93,1.0,0.06212052995076301,0.98,1.0,0.04057793206807789
Tenocyte,TSPC,Col4a1,Cd44,0.021557116586144506,0.0,0.0,0.01332349951905894,0.0,0.0,-0.008233617067085565
Stromal_other,T-FAP,Hspg2,Fgfr1,0.021708046080432874,0.0,0.0,0.03554630370397441,0.0,0.0,0.013838257623541534
Smooth_muscle,TSPC,Col4a1,Sdc1,0.021804154687478577,0.0,0.0,0.02431779823776055,0.0,0.0,0.002513643550281972
TSPC,TSPC,Anxa1,Egfr,0.02181720692475045,0.0,0.0,0.018295409288436627,0.0,0.0,-0.003521797636313821
Tenocyte,T-FAP,Col6a1,Sdc1,0.02183026419096807,0.0,0.0,0.18617139360167675,0.0,0.99,0.1643411294107087
Stromal_other,TSPC,Nid1,Itgb1,0.021913549834157234,0.0,0.0,0.01994247183111036,0.04,0.71,-0.001971078003046873
Tenocyte,TSPC,Gas6,Axl,0.021962663148053032,0.0,0.0,0.014647286500270739,0.0,0.0,-0.007315376647782293
Tenocyte,T-FAP,Calr,Itgav,0.022021692585060725,0.0,0.0,0.028942386765780113,0.0,0.0,0.006920694180719389
Stromal_other,TSPC,Calr,Itgav,0.02227866675124046,0.0,0.0,0.024454496881724623,0.0,0.0,0.002175830130484162
Endothelial,T-FAP,Fn1,Cd44,0.0223481802252437,1.0,1.0,0.07612150378562627,1.0,1.0,0.053773323560382565
Stromal,T-FAP,Serpine2,Lrp1,0.022687802557037003,0.0,0.0,0.021907862888236745,0.0,0.0,-0.0007799396688002586
TSPC,T-FAP,Fadd,Traf2,0.022807808503936367,0.12,1.0,0.015074834062804427,0.25,1.0,-0.00773297444113194
T-FAP,TSPC,Col4a2,Cd44,0.02282395160513573,0.0,0.0,0.011602972076462662,0.0,0.0,-0.011220979528673066
Smooth_muscle,TSPC,Fn1,Itgav_Itgb1,0.022969970968487186,1.0,0.93,0.023445523590384248,1.0,0.13,0.00047555262189706224
TSPC,T-FAP,Calr,Itgav,0.023020594478018935,0.0,0.0,0.03201791239561763,0.0,0.0,0.008997317917598696
T-FAP,TSPC,Cxcl12,Itgav,0.023051003003049766,0.0,0.0,0.007982081510533812,0.0,0.0,-0.015068921492515954
Tenogenic-progenitor,TSPC,Clec11a,Itgb1,0.023091587878146896,0.0,0.0,0.024832026446760656,0.0,0.0,0.0017404385686137606
Endothelial,T-FAP,Timp2,Cd44,0.023244190442382698,1.0,1.0,0.055176684848634035,1.0,1.0,0.03193249440625134
Stromal,T-FAP,Vcan,Egfr,0.023315626357030224,0.0,0.0,0.041823497108387425,0.0,0.0,0.0185078707513572
Tenogenic-progenitor,T-FAP,Cxcl12,Itgb1,0.023551338050414653,0.0,0.0,0.014026215884876177,0.0,0.0,-0.009525122165538476
Smooth_muscle,TSPC,Gnai2,Cav1,0.023613078996268296,0.0,0.0,0.05581032601428763,0.04,0.0,0.032197247018019334
Tenogenic-progenitor,T-FAP,Thbs4,Sdc1,0.02365325269955184,0.0,0.0,0.2094605627061024,0.0,0.97,0.18580731000655054
Stromal,T-FAP,Ptn,Sdc2,0.02371621167605387,0.0,0.0,0.061064167828476845,0.0,0.0,0.03734795615242298
Stromal,T-FAP,Ptn,Sdc4,0.023778230065974244,0.0,0.0,0.04424989645184379,0.0,0.0,0.020471666385869544
Tenogenic-progenitor,TSPC,Fn1,Sdc1,0.02391545785109354,0.0,0.96,0.022010977571876034,0.0,0.55,-0.0019044802792175068
Stromal_other,T-FAP,Sema3a,Nrp1_Plxna2,0.023931586886074753,0.95,1.0,0.28053026223222255,0.71,1.0,0.2565986753461478
Smooth_muscle,T-FAP,Col1a1,Itga5,0.023943166572988044,1.0,1.0,0.025420799573130863,1.0,1.0,0.0014776330001428188
Macrophage,T-FAP,Sparc,Fgfr1,0.024110756031740316,1.0,1.0,0.043025816497001344,1.0,1.0,0.01891506046526103
Smooth_muscle,T-FAP,Pdgfa,Pdgfra,0.0242571707916064,0.0,0.0,0.023854049603421336,0.0,0.0,-0.0004031211881850641
Smooth_muscle,TSPC,Fn1,Itgav_Itgb3,0.02432009448613951,1.0,0.0,0.0432959482957971,1.0,0.0,0.018975853809657592
Stromal,TSPC,Calr,Itgav,0.024330591956728514,0.0,0.0,0.02776061641403959,0.0,0.0,0.0034300244573110747
T-FAP,TSPC,Cxcl12,Itgb3,0.02435159563367426,0.0,0.0,0.022913329453153206,0.0,0.0,-0.0014382661805210535
Endothelial,TSPC,Nid1,Itgb1,0.024393637940133335,0.0,0.0,0.01864378996532087,0.03,0.4,-0.005749847974812466
Macrophage,T-FAP,Sirpa,Cd47,0.024609836967967567,0.0,0.0,0.02833608145843029,0.0,0.0,0.0037262444904627226
Endothelial,TSPC,Pdgfb,Lrp1,0.024646871589652113,0.0,0.0,0.010735283181824283,0.0,0.0,-0.01391158840782783
Endothelial,T-FAP,Gnai2,Egfr,0.024678644039786736,0.0,0.0,0.012753371900826538,0.0,0.0,-0.011925272138960198
Tenocyte,TSPC,Fbln2,Itgb3,0.02474226786987584,0.0,0.0,0.03350421035415257,0.0,0.0,0.008761942484276728
Tenogenic-progenitor,TSPC,Comp,Itgav_Itgb3,0.025051268809894375,0.0,0.0,0.05466957569403943,0.0,0.0,0.029618306884145053
Smooth_muscle,TSPC,Anxa1,Egfr,0.025136944450956808,0.0,0.0,0.07221272797887562,0.0,0.0,0.047075783527918816
Tenocyte,TSPC,Thbs4,Sdc1,0.025240173722416222,0.0,0.0,0.021245192070363194,0.0,0.0,-0.003994981652053028
Smooth_muscle,T-FAP,Timp3,Cd44,0.025341177886510583,0.0,0.0,0.03487409260768026,0.0,0.0,0.00953291472116968
Smooth_muscle,TSPC,Fn1,Itga5_Itgb1,0.025351956433587453,1.0,0.27,0.03251653024407211,1.0,0.59,0.007164573810484659
Tenocyte,TSPC,Thbs1,Itgav_Itgb3,0.025384309741638578,0.0,0.0,0.031841114245329184,0.0,0.0,0.006456804503690607
Endothelial,T-FAP,Fn1,Sdc2,0.025405893339387996,1.0,1.0,0.06192808956702732,1.0,1.0,0.036522196227639324
Smooth_muscle,T-FAP,Col18a1,Ptprs,0.02542748872084975,0.0,0.0,0.02860645809806878,0.0,0.0,0.0031789693772190306
T-FAP,TSPC,Cxcl12,Itga5,0.025470714845673717,0.0,0.0,0.01120142066798716,0.0,0.0,-0.014269294177686557
Stromal,T-FAP,Col6a1,Sdc1,0.02555686446406364,0.0,0.0,0.21577170742761292,0.0,1.0,0.1902148429635493
Macrophage,T-FAP,Fn1,Cd44,0.025611525610811283,1.0,1.0,0.1105097627701862,1.0,1.0,0.08489823715937492
Smooth_muscle,TSPC,Tgfb1,Sdc2,0.025644091231440857,0.0,0.0,0.042786601528799255,0.0,0.0,0.017142510297358398
Tenocyte,TSPC,Tgfb1,Sdc2,0.02574194760898355,0.0,0.0,0.044417816206515436,0.0,0.0,0.018675868597531887
Endothelial,T-FAP,Lgals1,Itgb1,0.025807318214346817,1.0,1.0,0.0643531586795839,1.0,1.0,0.03854584046523708
Tenogenic-progenitor,T-FAP,Thbs1,Lrp1,0.02593441141839832,0.61,1.0,0.012346390220365598,0.0,0.91,-0.013588021198032723
Macrophage,T-FAP,H2-K1,Aplp2,0.026047922158235006,0.0,0.0,0.024371105649218672,0.0,0.0,-0.0016768165090163337
Endothelial,T-FAP,Col4a2,Itgb5,0.02616876218673845,0.0,0.0,0.0258029776638546,0.0,0.0,-0.0003657845228838483
Smooth_muscle,T-FAP,Postn,Itgav_Itgb5,0.026245847431283685,0.99,0.02,0.05906582644373815,1.0,0.81,0.03281997901245447
Tenogenic-progenitor,TSPC,Comp,Itga5,0.026334123165198706,0.0,0.0,0.040383321190563606,0.0,0.0,0.0140491980253649
Tenocyte,T-FAP,Lrpap1,Lrp1,0.026500153388376756,0.0,0.0,0.024663776649730726,0.0,0.0,-0.0018363767386460304
Stromal_other,TSPC,Lamb2,Cd44,0.02659628454550696,0.0,0.0,0.024858389153667813,0.0,0.0,-0.0017378953918391477
Tenogenic-progenitor,T-FAP,Col6a1,Sdc1,0.02681929280903042,0.0,0.01,0.20561242210470232,0.0,1.0,0.1787931292956719
Stromal_other,TSPC,S100a4,Egfr,0.026834202535548163,0.0,0.0,0.018854857705232958,0.0,0.0,-0.007979344830315205
Stromal_other,TSPC,Il16,Grin2a,0.027020749503361544,0.0,1.0,0.20612116771215394,0.0,1.0,0.1791004182087924
Tenocyte,TSPC,Gnai2,Cav1,0.027170989240180934,0.0,0.0,0.06190922720001285,0.08,0.0,0.034738237959831914
Macrophage,TSPC,S100a4,Egfr,0.0271935359993749,0.0,0.0,0.04005332473321555,0.0,0.0,0.012859788733840652
Smooth_muscle,T-FAP,Mif,Ackr3,0.027216094758806327,0.0,0.0,0.08323603200885232,0.0,0.0,0.056019937250046
Stromal,TSPC,Lamb2,Cd44,0.027299045745802008,0.0,0.0,0.018159561950894573,0.0,0.0,-0.009139483794907435
TSPC,T-FAP,Nid1,Itgb1,0.027317757750359627,0.0,0.0,0.014490384103554216,0.0,0.0,-0.01282737364680541
T-FAP,TSPC,Has2,Cd44,0.02732921168260746,0.0,0.0,0.04774209968046928,0.0,0.0,0.020412887997861822
Stromal_other,T-FAP,Col6a1,Sdc1,0.02745008925690731,0.0,0.0,0.22439874140283136,0.0,1.0,0.19694865214592405
Tenogenic-progenitor,T-FAP,Serpine2,Lrp1,0.027476383867641875,0.0,0.0,0.013593206007238432,0.0,0.0,-0.013883177860403443
Smooth_muscle,TSPC,Hspg2,Itgb1,0.027510451860382003,0.0,1.0,0.01758598706159396,0.02,0.98,-0.009924464798788044
Tenocyte,T-FAP,Clec11a,Itgb1,0.027738264391833974,0.0,0.0,0.028722011648789108,0.0,0.0,0.0009837472569551343
Tenogenic-progenitor,TSPC,Mdk,Lrp1,0.027783971579442762,0.0,0.0,0.01060706264551378,0.0,0.0,-0.01717690893392898
Tenogenic-progenitor,TSPC,Fbln1,Itgb1,0.027829727043528065,0.0,0.0,0.03563920836926919,0.0,0.0,0.007809481325741125
T-FAP,TSPC,Calr,Itgav,0.027841173455226863,0.0,0.0,0.03469099611297137,0.0,0.0,0.006849822657744507
Smooth_muscle,TSPC,Thbs1,Sdc4,0.02796728330605186,0.37,0.0,0.017009945296618274,0.0,0.0,-0.010957338009433586
Stromal_other,TSPC,Cd14,Itgb1,0.027998281657602528,0.0,0.0,0.01376535500304385,0.0,0.0,-0.014232926654558678
Tenocyte,T-FAP,Hbegf,Cd9,0.02807073610396272,0.0,0.0,0.04627602790515594,0.0,0.0,0.01820529180119322
TSPC,T-FAP,Col6a1,Sdc1,0.02807496997093066,0.0,0.0,0.239267178463825,0.0,1.0,0.21119220849289433
Smooth_muscle,T-FAP,Col1a1,Sdc1,0.028105682968606268,1.0,1.0,0.22800673501874985,1.0,1.0,0.19990105205014358
TSPC,TSPC,Hspg2,Dag1,0.028174433969955132,0.0,0.0,0.022941229783748535,0.0,0.0,-0.005233204186206597
Stromal_other,T-FAP,Hsp90aa1,Egfr,0.02834780899490281,0.0,0.0,0.01747650925575629,0.0,0.0,-0.010871299739146523
T-FAP,TSPC,Gdf11,Bmpr1b,0.028424319107866337,0.63,1.0,0.17810080565088904,0.2,1.0,0.1496764865430227
Smooth_muscle,TSPC,Hspg2,Lrp1,0.028510241450366184,0.0,0.96,0.008556123729377921,0.0,0.0,-0.019954117720988263
Stromal,TSPC,Lpl,Cd44,0.02852241886646708,0.0,0.0,0.007866366508963166,0.0,0.0,-0.020656052357503913
Stromal_other,TSPC,Mdk,Sdc2,0.02858449226929598,0.0,0.0,0.057480898880190076,0.0,0.0,0.028896406610894095
T-FAP,T-FAP,Plat,Lrp1,0.028696607724893644,0.0,0.0,0.05140722889411078,0.0,0.0,0.022710621169217134
TSPC,T-FAP,Apoe,Lrp1,0.02879008293464287,1.0,1.0,0.0662835224997101,1.0,1.0,0.03749343956506723
Endothelial,T-FAP,Hspg2,Itgb1,0.028872033648355926,0.0,0.0,0.03002479183326858,0.86,0.0,0.0011527581849126549
Stromal_other,T-FAP,Anxa1,Egfr,0.028965874506506627,0.0,0.0,0.03659029859758182,0.0,0.0,0.00762442409107519
Stromal,T-FAP,Thbs1,Cd47,0.02909522453340631,1.0,1.0,0.028954015374450522,0.87,0.49,-0.00014120915895578928
Macrophage,TSPC,Sirpa,Cd47,0.029408359022477345,0.0,0.0,0.026560709009997473,0.0,0.0,-0.0028476500124798715
Smooth_muscle,T-FAP,Mfge8,Itgb5,0.029509253732098516,0.0,0.0,0.024039368925721106,0.0,0.0,-0.0054698848063774105
Stromal,T-FAP,Lamb1,Cd44,0.02953302584808349,0.0,0.0,0.08996350565653412,0.0,0.0,0.06043047980845063
TSPC,TSPC,Gnai2,Cav1,0.029855151024978037,0.0,0.0,0.08280514684875326,0.47,0.0,0.05294999582377522
Macrophage,T-FAP,Fn1,Sdc2,0.029951025779354417,1.0,1.0,0.08818619727184748,1.0,1.0,0.05823517149249306
Tenocyte,TSPC,Col6a1,Sdc1,0.030020137085955013,0.0,0.01,0.032699165540436614,0.0,0.01,0.0026790284544816016
Stromal_other,T-FAP,Igfbp4,Lrp6,0.03002306110925284,0.0,0.0,0.02648924461844312,0.0,0.0,-0.003533816490809718
Tenocyte,TSPC,Tnc,Sdc4,0.030047097521499033,0.0,0.0,0.027862620425255908,0.0,0.0,-0.0021844770962431252
Stromal_other,TSPC,Fbn1,Itgb3,0.03005912034826271,0.0,0.0,0.09034553228438094,0.0,0.0,0.06028641193611824
Stromal_other,T-FAP,Calr,Itgav,0.030071146255886808,0.0,0.0,0.041223161403947134,0.0,0.0,0.011152015148060326
T-FAP,TSPC,Mdk,Sdc2,0.030084279078523908,0.0,0.0,0.038694512284070906,0.0,0.0,0.008610233205546998
Stromal_other,TSPC,Thbs1,Sdc4,0.03021569757276967,0.69,0.21,0.01818309728610482,0.0,0.0,-0.012032600286664853
TSPC,TSPC,Tgfb1,Sdc2,0.030309467104083335,0.0,0.0,0.04782962409874077,0.0,0.0,0.01752015699465743
Tenogenic-progenitor,T-FAP,Apoe,Sdc2,0.03038490230032028,1.0,0.0,0.08403343298072827,1.0,0.0,0.05364853068040799
Stromal_other,T-FAP,Vcan,Cd44,0.0304818625460628,0.0,0.0,0.13200496515529056,0.0,0.0,0.10152310260922776
TSPC,T-FAP,Lrpap1,Lrp1,0.030506133523211278,0.0,0.0,0.0326796435081337,0.0,0.0,0.0021735099849224254
Stromal,TSPC,Serpine2,Lrp1,0.030566865096934313,0.0,0.0,0.01913385056121563,0.0,0.0,-0.011433014535718683
Stromal,T-FAP,Lrpap1,Lrp1,0.030810565418274965,0.0,0.0,0.02615011246251281,0.0,0.0,-0.004660452955762156
Macrophage,T-FAP,Pkm,Cd44,0.030920635083223288,1.0,0.83,0.08804496797574914,1.0,0.95,0.057124332892525845
Stromal,T-FAP,Plat,Lrp1,0.031129230595346325,0.0,0.0,0.028644974961654482,0.0,0.0,-0.0024842556336918432
Stromal,TSPC,Thbs2,Itgav_Itgb3,0.03121538396053413,0.0,0.0,0.15456023170536892,0.0,0.0,0.12334484774483478
Smooth_muscle,T-FAP,Col1a2,Sdc1,0.03127032725118112,1.0,1.0,0.2343044267237485,1.0,1.0,0.20303409947256737
Smooth_muscle,T-FAP,Fn1,Itgav_Itgb1,0.03131403165252808,1.0,1.0,0.0392994521949638,1.0,1.0,0.007985420542435721
Stromal,TSPC,Gnas,Adcy7,0.031336166333332284,0.0,0.0,0.017830797740109223,0.0,0.0,-0.013505368593223061
T-FAP,T-FAP,Cxcl12,Itgav,0.031425248549834514,0.0,0.0,0.01682417548742054,0.0,0.0,-0.014601073062413972
Tenocyte,TSPC,Hspg2,Fgfr1,0.031623591046380996,0.0,0.0,0.017175639561664506,0.0,0.0,-0.01444795148471649
Stromal_other,T-FAP,Hspg2,Itgb1,0.03169817547943258,0.0,0.0,0.04295097066692283,1.0,0.47,0.011252795187490248
Stromal_other,TSPC,Fbn1,Itga5,0.03172306194700591,0.0,0.0,0.06600915628144047,0.0,0.0,0.03428609433443456
Stromal_other,TSPC,Thbs2,Itgav_Itgb3,0.03177287238240841,0.0,0.0,0.09331617026208597,0.0,0.0,0.06154329787967756
Endothelial,T-FAP,Mmrn2,Cd248,0.031797796355376606,0.0,0.0,0.023051569625585234,0.0,0.0,-0.008746226729791372
Stromal_other,T-FAP,Apoe,Lrp6,0.031922603875626676,0.13,0.0,0.017602868999162684,0.0,0.0,-0.014319734876463992
Tenogenic-progenitor,TSPC,Cxcl12,Sdc4,0.03202267523234724,0.0,0.0,0.014520185978073207,0.0,0.0,-0.017502489254274032
Smooth_muscle,T-FAP,Col4a2,Sdc1,0.032049545754560906,0.0,0.0,0.21378068479286574,0.0,0.0,0.18173113903830485
TSPC,T-FAP,Thbs1,Lrp1,0.0320829765482688,0.96,1.0,0.02016561956183618,0.16,1.0,-0.011917356986432617
T-FAP,T-FAP,Col6a1,Sdc1,0.032116429643509185,0.0,0.05,0.2373203313447676,0.0,1.0,0.2052039017012584
TSPC,T-FAP,Mif,Ackr3,0.03214804637327466,0.0,0.0,0.19496045859582226,0.0,0.0,0.1628124122225476
Stromal_other,TSPC,Tgfb1,Itgb1,0.0325260425042739,0.0,0.0,0.020795909500333776,0.0,0.0,-0.011730133003940123
TSPC,TSPC,Hspg2,Ptprs,0.03269071943535144,0.0,0.0,0.023415066901480194,0.0,0.0,-0.009275652533871248
Tenogenic-progenitor,TSPC,Thbs4,Sdc1,0.0327901842259533,0.0,0.0,0.04118903534519608,0.0,0.0,0.008398851119242781
T-FAP,T-FAP,Vcan,Egfr,0.03298337524533446,0.0,0.0,0.060952046479749895,0.0,0.0,0.027968671234415432
TSPC,T-FAP,Plat,Lrp1,0.033085559815215645,0.0,0.0,0.011987391892991065,0.0,0.0,-0.021098167922224582
Stromal,T-FAP,Fbn1,Itga5,0.03319874022904485,0.0,0.0,0.038048462419789,0.0,0.0,0.00484972219074415
Stromal,T-FAP,Gas6,Axl,0.03327770099773236,0.0,0.0,0.032529058888301855,0.0,0.0,-0.0007486421094305071
Tenogenic-progenitor,T-FAP,Lrpap1,Lrp1,0.03329053571090564,0.0,0.0,0.028158647979743327,0.0,0.0,-0.005131887731162316
TSPC,TSPC,Bmp1,Bmpr2,0.03338046732487134,0.0,0.0,0.014091927300850904,0.0,0.0,-0.01928854002402044
TSPC,T-FAP,Bmp1,Bmpr2,0.033470554104728274,0.0,0.0,0.021566483664858072,0.0,0.0,-0.011904070439870202
Tenogenic-progenitor,TSPC,Lama2,Cd44,0.033472910372115236,0.0,0.0,0.038103484566188756,0.0,0.0,0.0046305741940735196
Stromal_other,TSPC,Cxcl12,Itgb1,0.03359951888572814,0.0,0.0,0.03357972782337641,0.11,0.68,-1.979106235172612e-05
T-FAP,T-FAP,Comp,Cd47,0.03372880087130579,0.37,0.76,0.03118154062774702,0.01,0.0,-0.002547260243558766
Stromal,TSPC,Wnt5b,Klrg2,0.03375449224056898,0.0,1.0,0.030662947992879372,0.02,1.0,-0.0030915442476896066
Stromal,T-FAP,Calr,Itgav,0.03376764736926757,0.0,0.0,0.04743020175680711,0.0,0.0,0.013662554387539536
TSPC,T-FAP,Lamb1,Cd44,0.03393631262482974,0.0,0.0,0.09010664729316298,0.0,0.0,0.05617033466833324
Stromal,TSPC,Angptl4,Sdc2,0.034060317579934066,0.0,0.0,0.10599846363123169,0.0,0.0,0.07193814605129763
Stromal,T-FAP,Mif,Ackr3,0.03422297090780366,0.0,0.0,0.1262476957184168,0.0,0.0,0.09202472481061313
