,roc_auc,accuracy,balanced_accuracy,f1
core_23,0.993479657573495,0.9656652360515021,0.9664866554376703,0.972027972027972
full_44,0.9953984267828926,0.977110157367668,0.9771744604004237,0.9814385150812065
