,roc_auc,accuracy,balanced_accuracy,f1
core_23,0.9890221640442034,0.9345518867924528,0.8833035022573665,0.9570267131242741
full_44,0.9772286485186867,0.9268867924528302,0.8816178238452702,0.9515625
